,0
0,rider/tadej-pogacar
1,rider/mads-pedersen
2,rider/thomas-pidcock
3,rider/wout-van-aert
4,rider/jonathan-milan
5,rider/milan-fretin
6,rider/paul-magnier
7,rider/mattias-skjelmose-jensen
8,rider/thibau-nys
9,rider/michal-kwiatkowski
10,rider/florian-senechal
11,rider/louis-vervaeke
12,rider/biniam-girmay
13,rider/arnaud-de-lie
14,rider/lennert-van-eetvelt
15,rider/tobias-foss
16,rider/arnaud-demare
17,rider/fabio-jakobsen
18,rider/victor-campenaerts
19,rider/brent-van-moer
20,rider/huub-artz
21,rider/mathieu-van-der-poel
22,rider/arne-marit
23,rider/tiesj-benoot
24,rider/giovanni-carboni
25,rider/kaden-groves
26,rider/vlad-van-mechelen
27,rider/warre-vangheluwe
28,rider/alexy-faure-prost
29,rider/olav-kooij
30,rider/laurence-pithie
31,rider/jasper-stuyven
32,rider/julian-alaphilippe
33,rider/ben-healy
34,rider/jelle-johannink
35,rider/andrea-bagioli
36,rider/jasper-philipsen
37,rider/romain-gregoire1
38,rider/matteo-jorgenson
39,rider/clement-russo
40,rider/jhonatan-narvaez
41,rider/dries-de-bondt
42,rider/nans-peters
43,rider/sam-bennett
44,rider/valentin-madouas
45,rider/aurelien-paret-peintre
46,rider/christophe-laporte
47,rider/tim-van-dijke
48,rider/paul-penhoet
49,rider/mikel-landa
50,rider/gonzalo-serrano
51,rider/wout-poels
52,rider/matej-mohoric
53,rider/richard-carapaz
54,rider/dries-van-gestel
55,rider/hugo-page
56,rider/maximilian-schachmann
57,rider/joseph-blackmore
58,rider/jenno-berckmoes
59,rider/jelte-krijnsen
60,rider/jai-hindley
61,rider/oliver-naesen
62,rider/tim-merlier
63,rider/dylan-teuns
64,rider/joshua-tarling
65,rider/kamau-peterson-wairimu
66,rider/giovanni-lovell
67,rider/remco-evenepoel
68,rider/david-gaudu
69,rider/mike-teunissen
70,rider/bruno-armirail
71,rider/dylan-van-baarle
72,rider/victor-lafay
73,rider/quinten-hermans
74,rider/neilson-powless
75,rider/magnus-sheffield
76,rider/mathias-vacek
77,rider/marijn-van-den-berg
78,rider/gianluca-pollefliet
79,rider/jonathan-vervenne
80,rider/axel-laurance
81,rider/florian-vermeersch
82,rider/nils-politt
83,rider/anthony-turgis
84,rider/kevin-vauquelin
85,rider/bob-jungels
86,rider/gianmarco-garofoli
87,rider/maxim-van-gils
88,rider/axel-zingle
89,rider/elia-viviani
90,rider/michael-matthews
91,rider/kasper-asgreen
92,rider/alec-segaert
93,rider/tim-wellens
94,rider/tibor-del-grosso
95,rider/pascal-eenkhoorn
96,rider/yves-lampaert
97,rider/isaac-del-toro
98,rider/jan-christen
99,rider/alberto-bettiol
100,rider/valentin-paret-peintre
101,rider/sylvain-moniquet
102,rider/lorenzo-fortunato
103,rider/john-degenkolb
104,rider/marc-soler
105,rider/fabio-van-den-bossche
106,rider/maximilian-felder
107,rider/nicola-conci
108,rider/leander-van-hautegem
109,rider/tijmen-graat
110,rider/laurenz-rex
111,rider/oier-lazkano
112,rider/niklas-behrens
113,rider/gal-glivar
114,rider/jorgen-nordhagen
115,rider/pablo-torres-arias
116,rider/alexis-renard
117,rider/ivan-garcia-cortina
118,rider/jordi-meeus
119,rider/alfred-wright
120,rider/emilien-jeanniere
121,rider/madis-mihkels
122,rider/valentin-ferron
123,rider/ethan-hayter
124,rider/antonio-morgado
125,rider/mauri-vansevenant
126,rider/tobias-halland-johannessen
127,rider/davide-ballerini
128,rider/frederik-frison
129,rider/riley-sheehan
130,rider/ben-turner
131,rider/tim-torn-teutenberg
132,rider/junior-lecerf
133,rider/ben-tulett
134,rider/francesco-busatto
135,rider/rick-pluimers
136,rider/domen-novak
137,rider/connor-swift
138,rider/simon-guglielmi
139,rider/martin-svrcek
140,rider/rune-herregodts
141,rider/jonas-abrahamsen
142,rider/stefan-bissegger
143,rider/christian-scaroni
144,rider/gerben-thijssen
145,rider/soren-waerenskjold
146,rider/samuel-watson
147,rider/taco-van-der-hoorn
148,rider/sam-welsford
149,rider/juan-ayuso-pesquera
150,rider/stephen-williams
151,rider/emil-herzog
152,rider/michael-valgren-andersen
153,rider/marius-mayrhofer
